ulid,flight_id,position,altitude,speed,datetime,meta,created_at,updated_at
01h0knzspa5v2hwn8heggb18mm,01h0knzrc26b97zrr457vqs405,0x000000000101000000166F033ED8325C405C6F905CD31A1DC0,52,15,2023-05-17 01:43:08,"{""lla"": {""lat"": -7.276196905437107, ""lng"": 112.79444837889514}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 7.196537191981227, ""coordinate"": {""x"": 41.51449429866435, ""y"": -34.793563867531695, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsph728jr4kdwd4c4m6n,01h0knzrc26b97zrr457vqs405,0x000000000101000000B9A472B7D8325C402BDBD9ABD91A1DC0,52,15,2023-05-17 01:43:09,"{""lla"": {""lat"": -7.276220975086115, ""lng"": 112.79447733111785}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 7.750116975979783, ""coordinate"": {""x"": 44.70791693545976, ""y"": -37.46999286270154, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzspmy99dfh9vwhwr080c,01h0knzrc26b97zrr457vqs405,0x0000000001010000005BDAE130D9325C40FA4623FBDF1A1DC0,52,15,2023-05-17 01:43:10,"{""lla"": {""lat"": -7.2762450447351235, ""lng"": 112.79450628334055}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 8.303696759978338, ""coordinate"": {""x"": 47.90133957595045, ""y"": -40.14642200152592, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzspqf5s1h2fd785baey4,01h0knzrc26b97zrr457vqs405,0x000000000101000000FE0F51AAD9325C40C8B26C4AE61A1DC0,52,15,2023-05-17 01:43:11,"{""lla"": {""lat"": -7.276269114384132, ""lng"": 112.79453523556325}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 8.857276543976894, ""coordinate"": {""x"": 51.094762212745856, ""y"": -42.822851282503635, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsps99mhgjw4x1zz2cvm,01h0knzrc26b97zrr457vqs405,0x0000000001010000006048C023DA325C40971EB699EC1A1DC0,52,15,2023-05-17 01:43:12,"{""lla"": {""lat"": -7.27629318403314, ""lng"": 112.79456418778597}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 9.41085632797545, ""coordinate"": {""x"": 54.288184851388905, ""y"": -45.499280708868056, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzspvc2bd4j151bpyxvfb,01h0knzrc26b97zrr457vqs405,0x000000000101000000027E2F9DDA325C40668AFFE8F21A1DC0,52,15,2023-05-17 01:43:13,"{""lla"": {""lat"": -7.276317253682148, ""lng"": 112.79459314000866}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 9.964436111974006, ""coordinate"": {""x"": 57.481607490031955, ""y"": -48.17571027715485, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzspx0gffaf7yvcn8bv28,01h0knzrc26b97zrr457vqs405,0x000000000101000000A5B39E16DB325C40A6F64838F91A1DC0,52,15,2023-05-17 01:43:14,"{""lla"": {""lat"": -7.276341323331157, ""lng"": 112.79462209223136}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 10.518015895972562, ""coordinate"": {""x"": 60.67503012682736, ""y"": -50.85213999013549, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsq07hgxdq5txfz0pdj0,01h0knzrc26b97zrr457vqs405,0x00000000010100000048E90D90DB325C4074629287FF1A1DC0,52,15,2023-05-17 01:43:15,"{""lla"": {""lat"": -7.276365392980165, ""lng"": 112.79465104445406}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 11.07159567997112, ""coordinate"": {""x"": 63.86845276547041, ""y"": -53.528569845269445, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsq26nxzd5gxej68z1cq,01h0knzrc26b97zrr457vqs405,0x000000000101000000AA217D09DC325C4043CEDBD6051B1DC0,52,15,2023-05-17 01:43:16,"{""lla"": {""lat"": -7.276389462629173, ""lng"": 112.79467999667676}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 11.625175463969674, ""coordinate"": {""x"": 67.06187540411345, ""y"": -56.20499984567464, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsq5ahe29701mm47vdr4,01h0knzrc26b97zrr457vqs405,0x0000000001010000004C57EC82DC325C40123A25260C1B1DC0,52,15,2023-05-17 01:43:17,"{""lla"": {""lat"": -7.276413532278181, ""lng"": 112.79470894889948}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 12.17875524796823, ""coordinate"": {""x"": 70.25529804460416, ""y"": -58.881429989618894, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsq7pd5rjq080t7z6b6e,01h0knzrc26b97zrr457vqs405,0x000000000101000000EF8C5BFCDC325C40E1A56E75121B1DC0,52,15,2023-05-17 01:43:18,"{""lla"": {""lat"": -7.276437601927189, ""lng"": 112.79473790112218}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 12.732335031966786, ""coordinate"": {""x"": 73.44872068139955, ""y"": -61.55786027513909, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqadn02e14ett9ts1ef,01h0knzrc26b97zrr457vqs405,0x00000000010100000091C2CA75DD325C40B011B8C4181B1DC0,52,15,2023-05-17 01:43:19,"{""lla"": {""lat"": -7.276461671576198, ""lng"": 112.79476685334488}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 13.285914815965342, ""coordinate"": {""x"": 76.64214331819495, ""y"": -64.23429070731625, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqcfhb1g8v9p8v38pzk,01h0knzrc26b97zrr457vqs405,0x000000000101000000F4FA39EFDD325C407F7D01141F1B1DC0,52,15,2023-05-17 01:43:20,"{""lla"": {""lat"": -7.276485741225206, ""lng"": 112.79479580556756}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 13.839494599963896, ""coordinate"": {""x"": 79.83556595683801, ""y"": -66.91072127933718, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqfw9gphv0bqaam5m47,01h0knzrc26b97zrr457vqs405,0x0000000001010000009630A968DE325C404DE94A63251B1DC0,52,15,2023-05-17 01:43:21,"{""lla"": {""lat"": -7.276509810874214, ""lng"": 112.79482475779028}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 14.393074383962452, ""coordinate"": {""x"": 83.02898859548105, ""y"": -69.58715199836152, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqgw3aj66g60aqkbpfh,01h0knzrc26b97zrr457vqs405,0x000000000101000000396618E2DE325C401C5594B22B1B1DC0,52,15,2023-05-17 01:43:22,"{""lla"": {""lat"": -7.276533880523223, ""lng"": 112.794853710013}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 14.94665416796101, ""coordinate"": {""x"": 86.22241123597176, ""y"": -72.26358285861535, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqk65hepsqghk7a4k6q,01h0knzrc26b97zrr457vqs405,0x0000000001010000009B9E875BDF325C40EBC0DD01321B1DC0,52,15,2023-05-17 01:43:23,"{""lla"": {""lat"": -7.276557950172231, ""lng"": 112.7948826622357}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 15.500233951959569, ""coordinate"": {""x"": 89.4158338746148, ""y"": -74.94001386275468, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqm2q2e6wpp3gtjak62,01h0knzrc26b97zrr457vqs405,0x0000000001010000003ED4F6D4DF325C40BA2C2751381B1DC0,52,15,2023-05-17 01:43:24,"{""lla"": {""lat"": -7.276582019821239, ""lng"": 112.7949116144584}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 16.053813735958123, ""coordinate"": {""x"": 92.6092565114102, ""y"": -77.61644501274264, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqsda0fdgn8be5xr2zc,01h0knzrc26b97zrr457vqs405,0x000000000101000000E009664EE0325C40899870A03E1B1DC0,52,15,2023-05-17 01:43:25,"{""lla"": {""lat"": -7.276606089470247, ""lng"": 112.79494056668108}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 16.607393519956677, ""coordinate"": {""x"": 95.80267915005324, ""y"": -80.29287630338271, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqte0dfss618tad95j8,01h0knzrc26b97zrr457vqs405,0x000000000101000000833FD5C7E0325C40C804BAEF441B1DC0,52,15,2023-05-17 01:43:26,"{""lla"": {""lat"": -7.276630159119256, ""lng"": 112.7949695189038}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 17.160973303955235, ""coordinate"": {""x"": 98.99610178869632, ""y"": -82.96930773929401, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqy04nwemwyymvea64z,01h0knzrc26b97zrr457vqs405,0x000000000101000000E5774441E1325C409770033F4B1B1DC0,52,15,2023-05-17 01:43:27,"{""lla"": {""lat"": -7.276654228768264, ""lng"": 112.7949984711265}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 17.71455308795379, ""coordinate"": {""x"": 102.18952442733936, ""y"": -85.64573931666577, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsqyrtrf0gsrqm3q3c0a,01h0knzrc26b97zrr457vqs405,0x00000000010100000088ADB3BAE1325C4066DC4C8E511B1DC0,52,15,2023-05-17 01:43:28,"{""lla"": {""lat"": -7.276678298417272, ""lng"": 112.7950274233492}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 18.268132871952343, ""coordinate"": {""x"": 105.3829470659824, ""y"": -88.3221710406945, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsr2kbc0f20dvrc50pnb,01h0knzrc26b97zrr457vqs405,0x0000000001010000002AE32234E2325C40354896DD571B1DC0,52,15,2023-05-17 01:43:29,"{""lla"": {""lat"": -7.276702368066281, ""lng"": 112.7950563755719}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 18.8217126559509, ""coordinate"": {""x"": 108.5763697027778, ""y"": -90.99860290687656, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsr3ce35f00m7tp921t2,01h0knzrc26b97zrr457vqs405,0x000000000101000000CD1892ADE2325C4003B4DF2C5E1B1DC0,52,15,2023-05-17 01:43:30,"{""lla"": {""lat"": -7.276726437715289, ""lng"": 112.7950853277946}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 19.375292439949455, ""coordinate"": {""x"": 111.76979234142084, ""y"": -93.67503491532742, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsr9am0kyjqzekgnha33,01h0knzrc26b97zrr457vqs405,0x000000000101000000D18670A0E3325C40A18B72CB6A1B1DC0,52,15,2023-05-17 01:43:32,"{""lla"": {""lat"": -7.276774577013305, ""lng"": 112.79514323224}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 20.48245200794657, ""coordinate"": {""x"": 118.15663761685931, ""y"": -99.0278993650404, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsr9y7jqetp52q63jj8c,01h0knzrc26b97zrr457vqs405,0x0000000001010000002F510127E3325C40D21F297C641B1DC0,52,15,2023-05-17 01:43:31,"{""lla"": {""lat"": -7.276750507364297, ""lng"": 112.79511428001732}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 19.928872223948012, ""coordinate"": {""x"": 114.96321498191156, ""y"": -96.3514670690495, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrd78j4pt6bcb640shp,01h0knzrc26b97zrr457vqs405,0x00000000010100000074BCDF19E4325C4070F7BB1A711B1DC0,52,15,2023-05-17 01:43:33,"{""lla"": {""lat"": -7.276798646662313, ""lng"": 112.79517218446271}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 21.036031791945124, ""coordinate"": {""x"": 121.35006025735, ""y"": -101.7043318059561, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrd84am868h1zj38r70,01h0knzrc26b97zrr457vqs405,0x000000000101000000D6F44E93E4325C403F63056A771B1DC0,52,15,2023-05-17 01:43:34,"{""lla"": {""lat"": -7.2768227163113215, ""lng"": 112.79520113668542}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 21.58961157594368, ""coordinate"": {""x"": 124.54348289599308, ""y"": -104.38076439087276, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrjj8ahfhqvemx3j44f,01h0knzrc26b97zrr457vqs405,0x000000000101000000792ABE0CE5325C400ECF4EB97D1B1DC0,52,15,2023-05-17 01:43:35,"{""lla"": {""lat"": -7.27684678596033, ""lng"": 112.79523008890811}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 22.14319135994224, ""coordinate"": {""x"": 127.73690553278846, ""y"": -107.05719711794276, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrk2fw42nkxa0bchwxx,01h0knzrc26b97zrr457vqs405,0x0000000001010000001B602D86E5325C40DC3A9808841B1DC0,52,15,2023-05-17 01:43:36,"{""lla"": {""lat"": -7.276870855609338, ""lng"": 112.79525904113083}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 22.69677114394079, ""coordinate"": {""x"": 130.93032817327915, ""y"": -109.73362998693511, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrr1zvcr2y67h31we5h,01h0knzrc26b97zrr457vqs405,0x000000000101000000BE959CFFE5325C40ABA6E1578A1B1DC0,52,15,2023-05-17 01:43:37,"{""lla"": {""lat"": -7.276894925258347, ""lng"": 112.79528799335353}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 23.250350927939348, ""coordinate"": {""x"": 134.12375081007457, ""y"": -112.41006300223803, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrr98zcyvxmch2ftv2c,01h0knzrc26b97zrr457vqs405,0x00000000010100000020CE0B79E6325C40EB122BA7901B1DC0,52,15,2023-05-17 01:43:38,"{""lla"": {""lat"": -7.276918994907355, ""lng"": 112.79531694557625}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 23.803930711937905, ""coordinate"": {""x"": 137.3171734487176, ""y"": -115.08649616096451, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsrxhrtjry8nbs8cf6qp,01h0knzrc26b97zrr457vqs405,0x000000000101000000C3037BF2E6325C40BA7E74F6961B1DC0,52,15,2023-05-17 01:43:39,"{""lla"": {""lat"": -7.276943064556363, ""lng"": 112.79534589779894}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 24.35751049593646, ""coordinate"": {""x"": 140.51059608736065, ""y"": -117.76292946288363, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzsry9nwymztgrydczkgw,01h0knzrc26b97zrr457vqs405,0x0000000001010000006539EA6BE7325C4088EABD459D1B1DC0,52,15,2023-05-17 01:43:40,"{""lla"": {""lat"": -7.276967134205371, ""lng"": 112.79537485002164}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 24.911090279935017, ""coordinate"": {""x"": 143.70401872415607, ""y"": -120.4393629084573, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzss2404vvy1e96v3wpw0,01h0knzrc26b97zrr457vqs405,0x000000000101000000086F59E5E7325C4057560795A31B1DC0,52,15,2023-05-17 01:43:41,"{""lla"": {""lat"": -7.276991203854379, ""lng"": 112.79540380224434}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 25.46467006393357, ""coordinate"": {""x"": 146.8974413627991, ""y"": -123.1157964976855, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzss2z1bpn994r1ebjc0h,01h0knzrc26b97zrr457vqs405,0x0000000001010000006AA7C85EE8325C4026C250E4A91B1DC0,52,15,2023-05-17 01:43:42,"{""lla"": {""lat"": -7.2770152735033875, ""lng"": 112.79543275446704}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 26.01824984793213, ""coordinate"": {""x"": 150.09086400144216, ""y"": -125.79223022964442, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzss8r50986bq6qnk031e,01h0knzrc26b97zrr457vqs405,0x0000000001010000000DDD37D8E8325C40F52D9A33B01B1DC0,52,15,2023-05-17 01:43:43,"{""lla"": {""lat"": -7.277039343152396, ""lng"": 112.79546170668976}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 26.571829631930683, ""coordinate"": {""x"": 153.28428664193285, ""y"": -128.46866410641266, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzss99tk6tpjxtsqm3as3,01h0knzrc26b97zrr457vqs405,0x000000000101000000AF12A751E9325C40C499E382B61B1DC0,52,15,2023-05-17 01:43:44,"{""lla"": {""lat"": -7.277063412801405, ""lng"": 112.79549065891246}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 27.12540941592924, ""coordinate"": {""x"": 156.4777092805759, ""y"": -131.14509812429492, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzssdyj043m4th9f3zwp6,01h0knzrc26b97zrr457vqs405,0x000000000101000000114B16CBE9325C4093052DD2BC1B1DC0,52,15,2023-05-17 01:43:45,"{""lla"": {""lat"": -7.277087482450413, ""lng"": 112.79551961113516}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 27.678989199927795, ""coordinate"": {""x"": 159.6711319173713, ""y"": -133.82153228918057, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzssepwtgqd5g8v4q76tk,01h0knzrc26b97zrr457vqs405,0x000000000101000000B4808544EA325C4061717621C31B1DC0,52,15,2023-05-17 01:43:46,"{""lla"": {""lat"": -7.277111552099421, ""lng"": 112.79554856335784}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 28.232568983926353, ""coordinate"": {""x"": 162.86455455601435, ""y"": -136.49796659460287, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzssj22hm1p89jw1y6796,01h0knzrc26b97zrr457vqs405,0x000000000101000000F9EB6337EB325C40FF4809C0CF1B1DC0,52,15,2023-05-17 01:43:48,"{""lla"": {""lat"": -7.277159691397437, ""lng"": 112.79560646780328}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 29.339728551923468, ""coordinate"": {""x"": 169.25139983330047, ""y"": -141.85083563975996, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
01h0knzssjjs3k0yydx70rj9hk,01h0knzrc26b97zrr457vqs405,0x00000000010100000057B6F4BDEA325C4030DDBF70C91B1DC0,52,15,2023-05-17 01:43:47,"{""lla"": {""lat"": -7.277135621748429, ""lng"": 112.79557751558056}, ""anchor"": {""alt"": 0, ""lat"": -7.275884, ""lng"": 112.794072}, ""progress"": 28.786148767924907, ""coordinate"": {""x"": 166.05797719280977, ""y"": -139.17440104610475, ""z"": 52}}",2023-05-17 01:42:56,2023-05-17 01:42:56
